iter	Accuracy	Logloss
185	0.8529741863	0.3550185867
186	0.8529741863	0.3545652973
187	0.8529741863	0.3545357707
188	0.8552188552	0.3543932871
189	0.8552188552	0.3540160018
190	0.8552188552	0.353812172
191	0.8552188552	0.353779965
192	0.8552188552	0.3537653679
193	0.8552188552	0.3537010528
194	0.8552188552	0.3536782291
195	0.8552188552	0.3536730072
196	0.8552188552	0.353401915
197	0.8540965208	0.3528037046
198	0.8552188552	0.3523347439
199	0.8552188552	0.3523078712
200	0.8563411897	0.3520274688
201	0.8563411897	0.3518769411
202	0.8563411897	0.3516001148
203	0.8563411897	0.3515549845
204	0.8563411897	0.3515069961
205	0.8574635241	0.3510155949
206	0.8574635241	0.3509652416
207	0.8574635241	0.3509652394
208	0.8563411897	0.3507474965
209	0.8552188552	0.3504850394
210	0.8552188552	0.3504442568
211	0.8552188552	0.3503759778
212	0.8552188552	0.3503114001
213	0.8552188552	0.3502118097
214	0.8563411897	0.3496659543
215	0.8563411897	0.3492451943
216	0.8563411897	0.3491772621
217	0.8574635241	0.3491052959
218	0.8585858586	0.3485201419
219	0.8585858586	0.3484878835
220	0.859708193	0.348009769
221	0.859708193	0.3479731253
222	0.8585858586	0.3476405254
223	0.859708193	0.3476274877
224	0.859708193	0.3476074871
225	0.859708193	0.3475355545
226	0.859708193	0.3474693588
227	0.859708193	0.3468697164
228	0.859708193	0.3468437299
229	0.859708193	0.346608645
230	0.859708193	0.3465590405
231	0.859708193	0.346457567
232	0.859708193	0.3464255546
233	0.859708193	0.3463744065
234	0.8585858586	0.3459365478
235	0.8585858586	0.345912695
236	0.8574635241	0.3458867483
237	0.8574635241	0.3456528331
238	0.8574635241	0.3451517118
239	0.859708193	0.344832503
240	0.859708193	0.3442696996
241	0.859708193	0.3442239111
242	0.859708193	0.3440459473
243	0.859708193	0.3440287016
244	0.859708193	0.3439792269
245	0.859708193	0.3437173583
246	0.859708193	0.3437120395
247	0.8608305275	0.3434796742
248	0.8608305275	0.3434626296
249	0.861952862	0.3433518088
250	0.861952862	0.3433294297
251	0.861952862	0.3432961526
252	0.861952862	0.3432513105
253	0.8608305275	0.3432122492
254	0.8608305275	0.3431992823
255	0.8608305275	0.3431492615
256	0.8608305275	0.342880231
257	0.8608305275	0.3428379055
258	0.8630751964	0.3423404532
259	0.8630751964	0.3422995314
260	0.8630751964	0.342252559
261	0.8630751964	0.3422279342
262	0.8630751964	0.3421745261
263	0.8641975309	0.3417817471
264	0.8630751964	0.3417359671
265	0.8630751964	0.3416900987
266	0.8630751964	0.3416631888
267	0.8630751964	0.3416595486
268	0.8630751964	0.3413313917
269	0.861952862	0.3410396847
270	0.861952862	0.3410009003
271	0.8608305275	0.3407471525
272	0.8608305275	0.3407288865
273	0.861952862	0.3405040807
274	0.861952862	0.3402437744
275	0.861952862	0.3402137465
276	0.861952862	0.3396032203
277	0.861952862	0.3394102597
278	0.861952862	0.3390365292
279	0.861952862	0.3390003466
280	0.861952862	0.3389808195
281	0.861952862	0.3389568308
282	0.861952862	0.3389457444
283	0.8630751964	0.3388563813
284	0.8630751964	0.3388271936
285	0.8630751964	0.3387995507
286	0.8641975309	0.3385700752
287	0.8641975309	0.3379004896
288	0.8641975309	0.3378538468
289	0.8653198653	0.3378325162
290	0.8653198653	0.3378248719
291	0.8653198653	0.3377915708
292	0.8653198653	0.3374231961
293	0.8653198653	0.3371208655
294	0.8653198653	0.337105628
295	0.8653198653	0.3369326497
296	0.8664421998	0.3368008878
297	0.8653198653	0.3367586727
298	0.8653198653	0.336739177
299	0.8653198653	0.3365655369
300	0.8653198653	0.3365527659
301	0.8653198653	0.3364770715
302	0.8653198653	0.3364569855
303	0.8664421998	0.3359998239
304	0.8664421998	0.3359691931
305	0.8664421998	0.3357327802
306	0.8664421998	0.3357121015
307	0.8664421998	0.3356645621
308	0.8664421998	0.3356456249
309	0.8664421998	0.3350293494
310	0.8664421998	0.3350156968
311	0.8675645342	0.3345975707
312	0.8675645342	0.3345798383
313	0.8675645342	0.3342805188
314	0.8675645342	0.3340631001
315	0.8675645342	0.3339743152
316	0.8675645342	0.3337587837
317	0.8675645342	0.3333569509
318	0.8675645342	0.3330213414
319	0.8675645342	0.3327069725
320	0.8675645342	0.3324967422
321	0.8675645342	0.3320215772
322	0.8675645342	0.3319694299
323	0.8675645342	0.3319498326
324	0.8675645342	0.3319309427
325	0.8675645342	0.3317361403
326	0.8675645342	0.3317065042
327	0.8675645342	0.3317028585
328	0.8675645342	0.33154935
329	0.8675645342	0.3315484688
330	0.8675645342	0.3314036601
331	0.8675645342	0.3313736689
332	0.8675645342	0.3312670697
333	0.8675645342	0.3311378021
334	0.8675645342	0.3308502252
335	0.8675645342	0.3307503302
336	0.8675645342	0.3307457992
337	0.8675645342	0.3307273658
338	0.8675645342	0.3304385895
339	0.8675645342	0.3304000809
340	0.8675645342	0.3301362368
341	0.8675645342	0.3299213456
342	0.8675645342	0.3295208501
343	0.8675645342	0.3295076943
344	0.8675645342	0.3292832386
345	0.8675645342	0.3292790844
346	0.8675645342	0.3287831481
347	0.8675645342	0.3287619477
348	0.8675645342	0.3287478715
349	0.8675645342	0.32870218
350	0.8675645342	0.3286317217
351	0.8675645342	0.3286172369
352	0.8675645342	0.3283332447
353	0.8675645342	0.3282955757
354	0.8675645342	0.3282148725
355	0.8675645342	0.3281329027
356	0.8675645342	0.3281201448
357	0.8675645342	0.3280696369
358	0.8675645342	0.3276628388
359	0.8675645342	0.3276494894
360	0.8675645342	0.3275708441
361	0.8675645342	0.3274733307
362	0.8675645342	0.3271105648
363	0.8675645342	0.3269418397
364	0.8675645342	0.326937922
365	0.8686868687	0.3263296165
366	0.8686868687	0.3263143145
367	0.8698092031	0.3261135739
368	0.8698092031	0.3260871861
369	0.8698092031	0.3258521624
370	0.8698092031	0.3253855302
371	0.8698092031	0.3251518169
372	0.8698092031	0.3251299355
373	0.8698092031	0.3250758071
374	0.8709315376	0.3247510074
375	0.8698092031	0.3245770946
376	0.8698092031	0.3245310295
377	0.8698092031	0.3240863784
378	0.8709315376	0.3238890369
379	0.8709315376	0.3238673531
380	0.8709315376	0.3238265171
381	0.8709315376	0.3236846462
382	0.8709315376	0.3235724881
383	0.8709315376	0.3234490115
384	0.8709315376	0.3230858274
385	0.8709315376	0.3229292967
386	0.8709315376	0.3228488746
387	0.8709315376	0.3226892911
388	0.8709315376	0.3224781862
389	0.8709315376	0.3220755261
390	0.8709315376	0.3220634127
391	0.8709315376	0.3220399324
392	0.8709315376	0.3217897257
393	0.8709315376	0.3217766577
394	0.8709315376	0.3216783569
395	0.8709315376	0.321438147
396	0.8709315376	0.3210908083
397	0.8709315376	0.3206808561
398	0.8709315376	0.3205652055
399	0.8709315376	0.3205563892
400	0.8709315376	0.3201697975
401	0.8709315376	0.3197808118
402	0.8709315376	0.3193178823
403	0.8720538721	0.3189778613
404	0.8720538721	0.3189764043
405	0.8720538721	0.3188534412
406	0.8720538721	0.3185618978
407	0.8720538721	0.3185502408
408	0.8720538721	0.3185442909
409	0.8709315376	0.3183997659
410	0.8720538721	0.3176786104
411	0.8720538721	0.31760601
412	0.8720538721	0.3174718499
413	0.8720538721	0.3173538213
414	0.8698092031	0.3166891106
415	0.8709315376	0.3165074784
416	0.8731762065	0.3162913547
417	0.8731762065	0.3161130062
418	0.8720538721	0.3158770666
419	0.8720538721	0.3158660332
420	0.8720538721	0.315631655
421	0.8720538721	0.3156049253
422	0.8731762065	0.315403742
423	0.8731762065	0.3153973644
424	0.8731762065	0.3151701965
425	0.8731762065	0.3150205319
426	0.874298541	0.3147314862
427	0.874298541	0.3147194356
428	0.874298541	0.3146888699
429	0.8731762065	0.3144301486
430	0.8731762065	0.3139353999
431	0.8731762065	0.3139301635
432	0.8731762065	0.3139156604
433	0.8731762065	0.3138327594
434	0.8731762065	0.3138093381
435	0.8731762065	0.3136788036
436	0.8731762065	0.3136604078
437	0.8731762065	0.3131613924
438	0.8731762065	0.3131557982
439	0.8731762065	0.313029136
440	0.8731762065	0.3126204998
441	0.8731762065	0.3126067116
442	0.874298541	0.312283335
443	0.874298541	0.3121950424
444	0.874298541	0.3121185216
445	0.874298541	0.3121052362
446	0.874298541	0.3118313421
447	0.874298541	0.3118226887
448	0.874298541	0.3116573411
449	0.874298541	0.3114388006
450	0.874298541	0.3113028892
451	0.874298541	0.3111436616
452	0.874298541	0.3111128582
453	0.8765432099	0.3107761247
454	0.8765432099	0.3104410477
455	0.8765432099	0.3100151888
456	0.8765432099	0.3098818199
457	0.8765432099	0.3097758823
458	0.8765432099	0.3097547383
459	0.8765432099	0.30940413
460	0.8765432099	0.30936411
461	0.8765432099	0.3091822115
462	0.8765432099	0.309176068
463	0.8765432099	0.3090050168
464	0.8776655443	0.3088356519
465	0.8776655443	0.3084463684
466	0.8776655443	0.3084339498
467	0.8776655443	0.3082603921
468	0.8776655443	0.3081082623
469	0.8776655443	0.3080850584
470	0.8799102132	0.3077527213
471	0.8799102132	0.3076304223
472	0.8799102132	0.3076185038
473	0.8799102132	0.3074073897
474	0.8799102132	0.307027205
475	0.8799102132	0.3070020868
476	0.8810325477	0.3069143913
477	0.8799102132	0.3067282949
478	0.8799102132	0.3065407109
479	0.8799102132	0.3063922267
480	0.8787878788	0.3057577763
481	0.8787878788	0.3054694192
482	0.8787878788	0.3054622955
483	0.8787878788	0.3053874351
484	0.8787878788	0.3052195951
485	0.8787878788	0.3046107118
486	0.8799102132	0.3043174092
487	0.8799102132	0.3042948552
488	0.8799102132	0.3042249521
489	0.8810325477	0.3040839695
490	0.8832772166	0.3037257378
491	0.8832772166	0.3037249762
492	0.8843995511	0.3035491914
493	0.8843995511	0.3032030676
494	0.88664422	0.3029388343
495	0.88664422	0.3025686814
496	0.8855218855	0.3024355725
497	0.88664422	0.3022685458
498	0.88664422	0.30193942
499	0.8855218855	0.3018255884
