model_name,notes,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,fold_scores
soft_vote_core,"Soft vote of logistic, extra trees, and gradient boosting.",0.8439325842696629,0.03012598216094324,0.797752808988764,0.9,"[0.9, 0.797752808988764, 0.8651685393258427, 0.8651685393258427, 0.797752808988764, 0.8426966292134831, 0.8651685393258427, 0.8314606741573034, 0.8426966292134831, 0.8314606741573034]"
soft_vote_full,"Soft vote of logistic, extra trees, gradient boosting, and SVM.",0.842808988764045,0.02864816017088392,0.797752808988764,0.9,"[0.9, 0.8089887640449438, 0.8651685393258427, 0.8539325842696629, 0.797752808988764, 0.8426966292134831, 0.8651685393258427, 0.8314606741573034, 0.8202247191011236, 0.8426966292134831]"
svc_rbf,Kernel SVM on scaled engineered features.,0.8394382022471909,0.029974740028358992,0.797752808988764,0.9,"[0.9, 0.797752808988764, 0.8426966292134831, 0.8202247191011236, 0.8089887640449438, 0.8426966292134831, 0.8651685393258427, 0.8089887640449438, 0.8651685393258427, 0.8426966292134831]"
extra_trees,High-variance tree ensemble on one-hot engineered features.,0.8383395755305868,0.022818826559317055,0.8089887640449438,0.8777777777777778,"[0.8777777777777778, 0.8202247191011236, 0.8539325842696629, 0.8426966292134831, 0.8089887640449438, 0.8314606741573034, 0.8764044943820225, 0.8202247191011236, 0.8314606741573034, 0.8202247191011236]"
random_forest,Constrained random forest for smoother fold behavior.,0.8360923845193508,0.02494621014070777,0.8089887640449438,0.8777777777777778,"[0.8777777777777778, 0.8089887640449438, 0.8089887640449438, 0.8426966292134831, 0.8089887640449438, 0.8539325842696629, 0.8651685393258427, 0.8089887640449438, 0.8539325842696629, 0.8314606741573034]"
hist_gradient_boosting,Histogram gradient boosting with ordinal-encoded categories.,0.8326966292134831,0.03446509022381694,0.7865168539325843,0.9,"[0.9, 0.8089887640449438, 0.8651685393258427, 0.8651685393258427, 0.797752808988764, 0.797752808988764, 0.8314606741573034, 0.8314606741573034, 0.7865168539325843, 0.8426966292134831]"
logistic_balanced,Class-balanced logistic variant for recall on the minority class.,0.8293258426966291,0.03970109885566367,0.7640449438202247,0.9,"[0.9, 0.797752808988764, 0.7865168539325843, 0.8651685393258427, 0.7640449438202247, 0.8539325842696629, 0.8426966292134831, 0.797752808988764, 0.8539325842696629, 0.8314606741573034]"
logistic,Scaled linear baseline with engineered features.,0.8271036204744071,0.03544031115254305,0.7528089887640449,0.8777777777777778,"[0.8777777777777778, 0.7865168539325843, 0.8202247191011236, 0.8314606741573034, 0.7528089887640449, 0.8314606741573034, 0.8651685393258427, 0.8426966292134831, 0.8539325842696629, 0.8089887640449438]"
