model_name,mean_accuracy,std_accuracy,robust_score,fold_scores
blend_simple,0.8345552696001506,0.0236962754503985,0.8262615731925111,"[0.8659217877094972, 0.8089887640449438, 0.7865168539325843, 0.8764044943820225, 0.8314606741573034, 0.8603351955307262, 0.8370786516853933, 0.8202247191011236, 0.8258426966292135, 0.8539325842696629, 0.8435754189944135, 0.8651685393258427, 0.8314606741573034, 0.7696629213483146, 0.8314606741573034, 0.8379888268156425, 0.8202247191011236, 0.8595505617977528, 0.8258426966292135, 0.8314606741573034, 0.8212290502793296, 0.8314606741573034, 0.8539325842696629, 0.848314606741573, 0.8258426966292135]"
catboost_simple,0.8318661728705039,0.023997731350559406,0.8234669668978081,"[0.8379888268156425, 0.8258426966292135, 0.7921348314606742, 0.8820224719101124, 0.8202247191011236, 0.8715083798882681, 0.8314606741573034, 0.8146067415730337, 0.8314606741573034, 0.8258426966292135, 0.8491620111731844, 0.8595505617977528, 0.848314606741573, 0.7584269662921348, 0.8314606741573034, 0.8268156424581006, 0.8202247191011236, 0.8370786516853933, 0.8314606741573034, 0.8258426966292135, 0.8100558659217877, 0.8258426966292135, 0.8539325842696629, 0.8426966292134831, 0.8426966292134831]"
histgb_simple,0.8325365639319565,0.02822758818130912,0.8226569080684983,"[0.8547486033519553, 0.8089887640449438, 0.8033707865168539, 0.898876404494382, 0.8258426966292135, 0.8770949720670391, 0.797752808988764, 0.8202247191011236, 0.8370786516853933, 0.8426966292134831, 0.8324022346368715, 0.8595505617977528, 0.8370786516853933, 0.7640449438202247, 0.8426966292134831, 0.8100558659217877, 0.8314606741573034, 0.8595505617977528, 0.8146067415730337, 0.848314606741573, 0.8379888268156425, 0.8258426966292135, 0.8426966292134831, 0.8539325842696629, 0.7865168539325843]"
logistic_simple,0.8296127047894043,0.025388118418095094,0.820726863343071,"[0.8659217877094972, 0.8146067415730337, 0.7696629213483146, 0.8539325842696629, 0.8707865168539326, 0.8435754189944135, 0.8202247191011236, 0.8146067415730337, 0.8258426966292135, 0.8314606741573034, 0.8603351955307262, 0.8539325842696629, 0.8202247191011236, 0.7865168539325843, 0.8202247191011236, 0.8603351955307262, 0.8202247191011236, 0.8314606741573034, 0.8089887640449438, 0.8258426966292135, 0.7932960893854749, 0.8202247191011236, 0.8539325842696629, 0.8595505617977528, 0.8146067415730337]"
blend_adjusted,0.8177164019835543,0.02388963550525478,0.8093550295567151,"[0.8603351955307262, 0.7752808988764045, 0.7808988764044944, 0.848314606741573, 0.8202247191011236, 0.8379888268156425, 0.8146067415730337, 0.797752808988764, 0.8146067415730337, 0.8426966292134831, 0.8268156424581006, 0.8370786516853933, 0.8202247191011236, 0.7584269662921348, 0.8146067415730337, 0.8212290502793296, 0.797752808988764, 0.8595505617977528, 0.8089887640449438, 0.8089887640449438, 0.8156424581005587, 0.8202247191011236, 0.8202247191011236, 0.8370786516853933, 0.8033707865168539]"
