mean_accuracy,std_accuracy,robust_score,params_json,fold_scores_json
0.8323750340007952,0.027402617488599203,0.8227841178797854,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8491620111731844, 0.797752808988764, 0.8089887640449438, 0.8426966292134831, 0.8370786516853933, 0.8491620111731844, 0.848314606741573, 0.8033707865168539, 0.8370786516853933, 0.8426966292134831, 0.8603351955307262, 0.7696629213483146, 0.8146067415730337, 0.8426966292134831, 0.8820224719101124]"
0.8323687569309313,0.027812242519235874,0.8226344720491987,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.06, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.2, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8547486033519553, 0.7921348314606742, 0.797752808988764, 0.848314606741573, 0.8370786516853933, 0.8603351955307262, 0.848314606741573, 0.8146067415730337, 0.8370786516853933, 0.8258426966292135, 0.8603351955307262, 0.7752808988764045, 0.8258426966292135, 0.8258426966292135, 0.8820224719101124]"
0.8312514384951772,0.02714713501552931,0.821749941239742,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.2, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8491620111731844, 0.797752808988764, 0.8089887640449438, 0.8370786516853933, 0.8370786516853933, 0.8491620111731844, 0.848314606741573, 0.8033707865168539, 0.8370786516853933, 0.8314606741573034, 0.8603351955307262, 0.7696629213483146, 0.8146067415730337, 0.8426966292134831, 0.8820224719101124]"
0.832389680497144,0.03086446762730287,0.821587116827588,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.2, ""reg_lambda"": 1.0, ""subsample"": 0.95}","[0.8435754189944135, 0.8146067415730337, 0.8033707865168539, 0.848314606741573, 0.848314606741573, 0.8212290502793296, 0.8651685393258427, 0.8033707865168539, 0.848314606741573, 0.8370786516853933, 0.8547486033519553, 0.7640449438202247, 0.797752808988764, 0.8426966292134831, 0.8932584269662921]"
0.8308873684430775,0.02673532316630035,0.8215300053348724,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 120, ""reg_alpha"": 0.0, ""reg_lambda"": 4.0, ""subsample"": 0.95}","[0.8547486033519553, 0.8089887640449438, 0.797752808988764, 0.8370786516853933, 0.848314606741573, 0.8324022346368715, 0.8595505617977528, 0.8033707865168539, 0.848314606741573, 0.8314606741573034, 0.8435754189944135, 0.7752808988764045, 0.8089887640449438, 0.8314606741573034, 0.8820224719101124]"
0.8308936455129413,0.026850194692892248,0.8214960773704291,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.2, ""reg_lambda"": 4.0, ""subsample"": 0.95}","[0.8491620111731844, 0.8146067415730337, 0.8033707865168539, 0.8370786516853933, 0.8426966292134831, 0.8156424581005587, 0.8707865168539326, 0.8033707865168539, 0.8426966292134831, 0.8314606741573034, 0.8491620111731844, 0.7752808988764045, 0.8089887640449438, 0.8370786516853933, 0.8820224719101124]"
0.832013056305317,0.03029676133306731,0.8214091898387434,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.95}","[0.8435754189944135, 0.8089887640449438, 0.797752808988764, 0.848314606741573, 0.848314606741573, 0.8212290502793296, 0.8595505617977528, 0.8089887640449438, 0.848314606741573, 0.8314606741573034, 0.8603351955307262, 0.7696629213483146, 0.797752808988764, 0.8426966292134831, 0.8932584269662921]"
0.8305170213211142,0.02618307341739667,0.8213529456250254,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.06, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.2, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8324022346368715, 0.8089887640449438, 0.8314606741573034, 0.8314606741573034, 0.8426966292134831, 0.8324022346368715, 0.8370786516853933, 0.8202247191011236, 0.8258426966292135, 0.8258426966292135, 0.8547486033519553, 0.7696629213483146, 0.8089887640449438, 0.8370786516853933, 0.898876404494382]"
0.8305170213211142,0.027206862056231972,0.8209946196014329,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.06, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8379888268156425, 0.797752808988764, 0.8202247191011236, 0.8314606741573034, 0.848314606741573, 0.8268156424581006, 0.8539325842696629, 0.8146067415730337, 0.8314606741573034, 0.8370786516853933, 0.8547486033519553, 0.7696629213483146, 0.8089887640449438, 0.8314606741573034, 0.8932584269662921]"
0.8308789990165925,0.028894423439440618,0.8207659508127882,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.0, ""reg_lambda"": 4.0, ""subsample"": 0.8}","[0.8379888268156425, 0.7921348314606742, 0.8033707865168539, 0.848314606741573, 0.8426966292134831, 0.8547486033519553, 0.8539325842696629, 0.797752808988764, 0.8370786516853933, 0.8370786516853933, 0.8603351955307262, 0.7696629213483146, 0.8146067415730337, 0.8314606741573034, 0.8820224719101124]"
